ÐòºÅ   ÏñÆ¬Ãû      Phi    Omega     Kappa            Xs            Ys           Zs
    1       320   0.1931  -0.1158   -0.2003   4504892.425    446030.416      399.039
    2       319   0.0658  -0.1427   -0.1818   4504892.478    446257.301      395.111
